channel_title,average_views
ChildishGambinoVEVO,1.503395506E8
BeckyGVEVO,5.91485643E7
LuisFonsiVEVO,5.34738794E7
MalumaVEVO,4.848486971875E7
Kylie Jenner,4.61064419E7
YouTube Spotlight,4.396602644444445E7
DrakeVEVO,4.168011414285714E7
TheWeekndVEVO,4.0990016E7
FoxStarHindi,3.87065579375E7
ArianaGrandeVevo,3.667346911627907E7
Cardi B,3.420825853333333E7
Daddy Yankee,2.94081308E7
Selena Gomez,2.924258867857143E7
David Dobrik,2.8383554555555556E7
ibighit,2.79488334875E7
CalvinHarrisVEVO,2.424568441860465E7
The Weeknd,2.33978156E7
jypentertainment,2.32339395625E7
Ed Sheeran,2.1963594914893616E7
ZaynVEVO,2.1501575666666668E7
Disney•Pixar,2.067037955E7
TaylorSwiftVEVO,2.0631748204081632E7
Logan Paul Vlogs,2.0181512625E7
JenniferLopezVEVO,1.8624235431818184E7
CelineDionVEVO,1.8607007545454547E7
shakiraVEVO,1.7485756714285713E7
Gorillaz,1.7308009785714287E7
Sony Pictures Entertainment,1.6276981795454545E7
KatyPerryVEVO,1.5185202722222222E7
Maroon5VEVO,1.5181466029411765E7
Bud Light,1.4927129857142856E7
FifthHarmonyVEVO,1.481943173076923E7
Blossom,1.4760052777777778E7
EminemVEVO,1.4496822212121213E7
Marvel Entertainment,1.4471991768E7
Dude Perfect,1.4275459374045802E7
LiamPayneVEVO,1.4266752E7
Bruno Mars,1.4208404866666667E7
Walt Disney Animation Studios,1.407787264E7
OVO Sound,1.3993099181818182E7
杰威爾音樂 JVR Music,1.381139527586207E7
Vevo,1.37916685E7
BackstreetBoysVEVO,1.349997674074074E7
GEazyMusicVEVO,1.3415771451612903E7
Diplo,1.2969591962962963E7
Coachella,1.2913356666666666E7
AbrahamMateoVEVO,1.2768289722222222E7
WINNER,1.26168398E7
J. Cole,1.2580622944444444E7
Turkish Airlines,1.2380891714285715E7
Ram Trucks,1.2301273555555556E7
NickyJamTV,1.21856569E7
EnriqueIglesiasVEVO,1.21515906875E7
NickiMinajAtVEVO,1.19561896E7
SelenaGomezVEVO,1.1824617888888888E7
Global Road Entertainment,1.1769347933333334E7
Clash Royale,1.1639946075E7
Intuit,1.160262775E7
jbalvinVEVO,1.144585525E7
5-Minute Crafts,1.1345085590909092E7
Rita Ora,1.106219294117647E7
Nicki Minaj,1.0510333166666666E7
Clean Bandit,1.0263847E7
Paramount Pictures,1.0111162951612903E7
CamilaCabelloVEVO,9816597.181818182
Jeep,9795352.777777778
Dua Lipa,9614830.461538462
CJENMMUSIC Official,9446925.272727273
JayRockVEVO,9252624.4
Mason Ramsey,9235716.333333334
SamSmithWorldVEVO,9229122.522727273
TWICE JAPAN OFFICIAL YouTube Channel,9192824.444444444
Collins Key,9145348.625
Illumination,9031182.4375
Conor Maynard,8893986.6
The Official Pokémon YouTube channel,8632876.666666666
Clash of Clans,8380916.666666667
Universal Pictures,8336862.4433962265
The Action Lab,8288574.225
How Ridiculous,8160873.586666667
20th Century Fox,8021278.6
ChainsmokersVEVO,7912008.37037037
Kanye West,7724317.391304348
Call of Duty,7692797.8292682925
TRYANGLE FILMS,7677156.666666667
John Lewis,7639348.25
ShawnMendesVEVO,7633281.637931035
HyundaiUSA,7553282.0
Lucas and Marcus,7489984.720930233
PinkVEVO,7438764.333333333
DemiLovatoVEVO,7431188.76
Cyberpunk 2077,7411625.0
T-Mobile,7373689.9375
KendrickLamarVEVO,7238027.25
The ACE Family,7178886.222222222
The New Yorker,7113515.347826087
SiaVEVO,6963081.844827586
justintimberlakeVEVO,6826246.705882353
CAguileraVEVO,6784719.38
iKON,6649242.2
nigahiga,6636136.97752809
Queen Naija,6517908.666666667
TheOdd1sOut,6492828.571428572
Marshmello,6481222.675675675
Prime Video,6402007.0
Dragonfoxgirl,6365235.0
PewDiePie,6318210.409090909
Lionsgate Movies,6225840.833333333
Samsung,6193010.461538462
Dwarf Mamba,6148761.625
MigosVEVO,6106745.4
BostonDynamics,5975256.490909091
Erika Costell,5965574.066666666
