channel_title,total_views
ChildishGambinoVEVO,3758488765
ibighit,2235906679
Dude Perfect,1870085178
Marvel Entertainment,1808998971
ArianaGrandeVevo,1576959172
MalumaVEVO,1551515831
jypentertainment,1486972132
Sony Pictures Entertainment,1432374398
FoxStarHindi,1238609854
BeckyGVEVO,1182971286
20th Century Fox,1082872611
CalvinHarrisVEVO,1042564430
Ed Sheeran,1032288961
Cardi B,1026247756
TaylorSwiftVEVO,1010955662
Universal Pictures,883707419
ZaynVEVO,838561451
Disney•Pixar,826815182
JenniferLopezVEVO,819466359
Selena Gomez,818792483
YouTube Spotlight,791388476
TheWeekndVEVO,778810304
Daddy Yankee,735203270
Diplo,700357966
Warner Bros. Pictures,665142792
AsapSCIENCE,640139160
Paramount Pictures,626892103
How Ridiculous,612065519
nigahiga,590616191
DrakeVEVO,583521598
LuisFonsiVEVO,534738794
Safiya Nygaard,528434394
Maroon5VEVO,516169845
Saturday Night Live,508000869
Logan Paul Vlogs,484356303
EminemVEVO,478395133
NickiMinajAtVEVO,478247584
Bad Lip Reading,476570575
Clash Royale,465597843
Kylie Jenner,461064419
ShawnMendesVEVO,442730335
Hannah Stocking,441704392
WWE,437968663
ChainsmokersVEVO,427248452
GEazyMusicVEVO,415888915
Lucas the Spider,414149390
CelineDionVEVO,409354166
SamSmithWorldVEVO,406081391
SiaVEVO,403858747
杰威爾音樂 JVR Music,400530463
The Film Theorists,397542779
EnriqueIglesiasVEVO,388850902
FifthHarmonyVEVO,385305225
Lele Pons,380567124
Rita Ora,376114560
Charlie Puth,365112911
BackstreetBoysVEVO,364499372
LiamPayneVEVO,356668800
Walt Disney Animation Studios,351946816
The Weeknd,350967234
SMTOWN,345614221
INSIDER,342052217
Unbox Therapy,341153157
CAguileraVEVO,339235969
Kurzgesagt – In a Nutshell,338422896
Lionsgate Movies,336195405
The Action Lab,331542969
BostonDynamics,328639107
CamilaCabelloVEVO,323947707
Lucas and Marcus,322069343
BuzzFeedVideo,319288139
SelenaGomezVEVO,319264683
Screen Junkies,319075554
Call of Duty,315404711
James Charles,308971512
FBE,302782908
SpaceX,297834246
The Late Late Show with James Corden,296789992
Jimmy Kimmel Live,285418753
PTXofficial,281683953
BuzzFeed Celeb,275753410
KatyPerryVEVO,273333649
The Tonight Show Starring Jimmy Fallon,271426383
The Slow Mo Guys,269936871
Blossom,265680950
MeghanTrainorVEVO,260966692
David Dobrik,255451991
WIRED,253980390
TheEllenShow,253841999
NikkieTutorials,250831472
5-Minute Crafts,249591883
Britain's Got Talent,245064037
NickyJamTV,243713138
Gorillaz,242312137
Focus Features,241268225
Rudy Mancuso,240999117
Marshmello,239805239
Disney Movie Trailers,238563448
CaseyNeistat,232745266
justintimberlakeVEVO,232092388
AbrahamMateoVEVO,229829215
MLG Highlights,228337647
J. Cole,226451213
BANGTANTV,222708704
Domics,217423286
HBO,216945704
Complex,215600399
Bruno Mars,213126073
CalumScottVEVO,207198164
David Guetta,206888493
Marques Brownlee,204868208
CinemaSins,200984487
jacksfilms,199608855
Liza Koshy,198176404
Tasty,197784716
Vogue,196864497
Brave Wilderness,195237547
TroyeSivanVEVO,195158834
Apple,193767049
Smosh,192475834
Nicki Minaj,189185997
ImagineDragonsVEVO,187230825
Netflix,185818315
DemiLovatoVEVO,185779719
The Game Theorists,184640656
Washington Post,184469147
Hulu,183899276
Matt Stonie,183888364
Late Night with Seth Meyers,181602246
Will Smith,178042728
Kanye West,177659300
Global Road Entertainment,176540219
BuzzFeedBlue,175555071
IISuperwomanII,175462864
Jason Derulo,175118409
KendrickLamarVEVO,173712654
SZAVEVO,173610028
HalseyVEVO,173457337
FlorenceMachineVEVO,171933322
Nintendo,169728343
Vanity Fair,167294141
First We Feast,165704839
TWICE JAPAN OFFICIAL YouTube Channel,165470840
The New Yorker,163610853
JennaMarbles,161428450
Gabbie Hanna,160736013
Jaiden Animations,158278108
Queen Naija,156429808
OVO Sound,153924091
Dragonfoxgirl,152765640
The Graham Norton Show,146971573
The Voice,146765823
Matthias,145414559
Movieclips Trailers,144773073
Illumination,144498919
CollegeHumor,143700307
Clean Bandit,143693858
carrieunderwoodVEVO,142418896
Good Mythical Morning,142231380
LOL Network,142221333
Primitive Technology,140610546
Team Coco,140089939
Sidemen,139931957
Shawn Mendes,139625542
PewDiePie,139000629
Mason Ramsey,138535745
NFL,136978912
colinfurze,135961026
American Idol,134964277
CNN,134813215
PinkVEVO,133897758
LaurDIY,131546255
videogamedunkey,129773202
The Official Pokémon YouTube channel,129493150
FaZe Rug,129237089
Tom Scott,128537887
Bon Appétit,128385524
WINNER,126168398
The King of Random,126142267
Dua Lipa,124992796
ABC News (Australia),123714373
The Late Show with Stephen Colbert,123675646
CrazyRussianHacker,123200635
Marzia,122740283
Vox,122633963
shakiraVEVO,122400297
MigosVEVO,122134908
Binging with Babish,120354260
REACT,119914068
Papa Jake,118814466
Architectural Digest,118555079
T-Mobile,117979039
Simply Nailogical,116445329
Star Wars,115402604
Primitive Survival Tool,115323362
Daily Dose Of Internet,114711611
What's Inside?,113555112
Linus Tech Tips,111892921
Ram Trucks,110711462
JunsKitchen,110463061
Vevo,110333348
grav3yardgirl,110136650
Panic! At The Disco,107058402
ESPN,105654218
Bud Light,104489909
BBC Radio 1,104438517
CJENMMUSIC Official,103916178
Kanye West - Topic,103575610
Vat19,102896710
Business Insider,98685090
Anwar Jibawi,97953804
LastWeekTonight,97556377
Fortnite,96760845
Rosanna Pansino,96223956
VH1,96134126
Team Edge,94856948
ExplosmEntertainment,94368973
JamesBayVEVO,94103102
JayRockVEVO,92526244
Epicurious,92508363
Mark Rober,91953204
Guava Juice,91945352
Alan Walker,90600675
Gordon Ramsay,89733691
Erika Costell,89483611
camelsandfriends,88564793
itsAlexClark,88455865
Red Bull,88368538
Jeep,88158175
Turkish Airlines,86666242
FiftyShadesVEVO,86648549
Tati,86618909
Liza Koshy Too,85624308
John Mayer,84573814
Amber Scholl,84057729
jeffreestar,83243512
HyundaiUSA,83086102
You Suck At Cooking,82688310
Jaclyn Hill,80890205
Jess Glynne,80671323
Samsung,80509136
TMZ,79792796
Atlantic Records,79781341
MBCentertainment,79645131
bill wurtz,79117913
Life Noggin,79069240
TinasheOfficialVEVO,78500664
As/Is,77280545
Billboard,76757116
Simone Giertz,76047479
Carter Sharer,76043213
The Dodo,75734561
E! Entertainment,74950439
The Daily Show with Trevor Noah,74462670
HellthyJunkFood,74084405
Cobra Kai,73405049
Dan And Shay,73213624
Collins Key,73162789
Kelly Clarkson,73035531
TED-Ed,72834398
NBA,72404568
HowToBasic,71925742
Discovery UK,70566954
Prince,70170796
Laura Lee,69868146
Bebe Rexha,69860321
Ladylike,69614926
Strictly Dumpling,69479392
miniminter,68842930
Janelle Monáe,68705400
ONE Media,68423206
johnmayerVEVO,68288317
Markiplier,68151773
jacksepticeye,67844712
JelloApocalypse,67087351
Ariana Grande`,65246786
LadyGagaVEVO,64758018
The ACE Family,64609976
Mr. Kate,64584006
5SOSVEVO,64307790
SigridVEVO,64297856
TODAY,64161753
BillieEilishVEVO,62533829
ProZD,62506208
TheReportOfTheWeek,62498648
MiguelVEVO,62469168
